x,y,z,qx,qy,qz,qw
-0.0036128946,-2.3007393e-05,-0.019376546,-0.017595423,-0.008035054,0.010600954,0.9997567
-0.0035173371,0.0,-0.019527704,-0.018189866,-0.008210593,0.010766362,0.99974287
-0.0034172367,3.6001205e-05,-0.019681305,-0.01863942,-0.00822022,0.011220497,0.9997295
-0.0033232616,7.760525e-05,-0.019840926,-0.019199569,-0.008296216,0.012020443,0.99970895
-0.0032207174,0.00012946129,-0.020004213,-0.019372584,-0.008412856,0.012431848,0.99969965
-0.0031037293,0.00019407272,-0.020163417,-0.019960742,-0.008407646,0.0132738985,0.9996773
-0.0030090064,0.00026118755,-0.020309985,-0.019991346,-0.008550392,0.013556409,0.9996717
-0.0029103328,0.00033974648,-0.020468712,-0.020062895,-0.00880933,0.013568738,0.9996678
-0.0028145872,0.00041782856,-0.020634264,-0.01996154,-0.009111381,0.013336219,0.99967027
-0.0027165497,0.0004954338,-0.02079171,-0.019641396,-0.009378864,0.013006444,0.9996785
-0.0026100073,0.0005710125,-0.02094695,-0.019006927,-0.009733079,0.01238756,0.99969524
-0.0025056452,0.00064086914,-0.021101862,-0.018688124,-0.010044221,0.011656441,0.9997069
-0.00240493,0.0007236004,-0.02126211,-0.018405283,-0.010218299,0.010893219,0.999719
-0.0022999682,0.0008175373,-0.021436721,-0.01839154,-0.01038769,0.010818995,0.99971837
-0.0022003204,0.0009204149,-0.021605164,-0.017978055,-0.010597378,0.010488203,0.9997272
-0.002112858,0.0010118484,-0.02177307,-0.017942965,-0.0106949415,0.010387073,0.99972785
-0.002022989,0.001122117,-0.021946102,-0.018103952,-0.01069445,0.010456609,0.9997242
-0.0019381549,0.0012152195,-0.022109717,-0.018409615,-0.010775687,0.010642346,0.9997158
-0.0018589254,0.0013155937,-0.022268713,-0.018594677,-0.010854935,0.011121762,0.99970627
-0.0017760433,0.0014058352,-0.022430122,-0.019098066,-0.010935417,0.011613411,0.99969035
-0.0016856324,0.0015026331,-0.022598863,-0.019401988,-0.011100855,0.011841498,0.99968
-0.0016236659,0.0016200542,-0.022775173,-0.019740313,-0.010999988,0.012360848,0.99966824
-0.0015479568,0.0017594099,-0.022958279,-0.020055052,-0.0109947845,0.012534101,0.99965984
-0.0014736038,0.0019093752,-0.023146898,-0.020257587,-0.011018131,0.012855559,0.99965143
-0.0014010761,0.0020662546,-0.023333937,-0.020656867,-0.0111400755,0.0132311005,0.99963695
-0.0013272204,0.0022283792,-0.023530066,-0.020400075,-0.011334312,0.013236429,0.99964
-0.0012653917,0.0023964643,-0.023714483,-0.020444937,-0.0114976335,0.013749412,0.99963033
-0.0012016445,0.0025821924,-0.023903877,-0.020507324,-0.011718811,0.013790286,0.9996259
-0.0011360571,0.0027689934,-0.024097502,-0.020466918,-0.011873052,0.013853474,0.999624
-0.0010852125,0.002932191,-0.024279267,-0.020331964,-0.012119331,0.013562543,0.9996278
-0.0010281559,0.0031472445,-0.024484187,-0.020129789,-0.012201695,0.011601703,0.9996556
-0.0009676162,0.0033458471,-0.02467969,-0.020199955,-0.012249852,0.01035497,0.9996673
-0.00091116317,0.0035545826,-0.024895191,-0.020241836,-0.012343281,0.009002071,0.9996784
-0.00085996836,0.0037602186,-0.025110155,-0.02015517,-0.012494198,0.007937192,0.9996873
-0.0008022301,0.003943324,-0.025301963,-0.020041488,-0.012637434,0.0072618923,0.9996929
-0.0007489901,0.00405252,-0.025468618,-0.019843094,-0.012784363,0.009952095,0.9996718
-0.00068215095,0.004267454,-0.025687933,-0.021979975,-0.012340652,0.014512578,0.99957687
-0.00061750785,0.004445672,-0.025904238,-0.022674877,-0.012425897,0.016094305,0.9995361
-0.00055188686,0.0046230555,-0.026112229,-0.022766475,-0.012573736,0.01667242,0.9995227
-0.0004882235,0.004830599,-0.02632615,-0.02295568,-0.012417615,0.01703565,0.9995142
-0.0004207734,0.005059004,-0.026573658,-0.023546826,-0.012419374,0.017960386,0.99948424
